index,time,lat,lon,tempanomaly
122,2023-03-15,-89.00,65.00,1.35
123,2023-03-15,-89.00,67.00,1.35
124,2023-03-15,-89.00,69.00,1.35
125,2023-03-15,-89.00,71.00,1.35
126,2023-03-15,-89.00,73.00,1.35
127,2023-03-15,-89.00,75.00,1.35
128,2023-03-15,-89.00,77.00,1.35
129,2023-03-15,-89.00,79.00,1.35
130,2023-03-15,-89.00,81.00,1.35
131,2023-03-15,-89.00,83.00,1.35
132,2023-03-15,-89.00,85.00,1.35
133,2023-03-15,-89.00,87.00,1.35
134,2023-03-15,-89.00,89.00,1.35
135,2023-03-15,-89.00,91.00,1.35
136,2023-03-15,-89.00,93.00,1.35
137,2023-03-15,-89.00,95.00,1.35
138,2023-03-15,-89.00,97.00,1.35
139,2023-03-15,-89.00,99.00,1.35
140,2023-03-15,-89.00,101.00,1.35
141,2023-03-15,-89.00,103.00,1.35
142,2023-03-15,-89.00,105.00,1.35
143,2023-03-15,-89.00,107.00,1.35
144,2023-03-15,-89.00,109.00,1.35
145,2023-03-15,-89.00,111.00,1.35
146,2023-03-15,-89.00,113.00,1.35
147,2023-03-15,-89.00,115.00,1.35
148,2023-03-15,-89.00,117.00,1.35
149,2023-03-15,-89.00,119.00,1.35
150,2023-03-15,-89.00,121.00,1.35
151,2023-03-15,-89.00,123.00,1.35
152,2023-03-15,-89.00,125.00,1.35
153,2023-03-15,-89.00,127.00,1.35
154,2023-03-15,-89.00,129.00,1.35
155,2023-03-15,-89.00,131.00,1.35
156,2023-03-15,-89.00,133.00,1.35
157,2023-03-15,-89.00,135.00,1.35
158,2023-03-15,-89.00,137.00,1.35
159,2023-03-15,-89.00,139.00,1.35
160,2023-03-15,-89.00,141.00,1.35
161,2023-03-15,-89.00,143.00,1.35
162,2023-03-15,-89.00,145.00,1.35
163,2023-03-15,-89.00,147.00,1.35
164,2023-03-15,-89.00,149.00,1.35
165,2023-03-15,-89.00,151.00,1.35
166,2023-03-15,-89.00,153.00,1.35
167,2023-03-15,-89.00,155.00,1.35
168,2023-03-15,-89.00,157.00,1.35
169,2023-03-15,-89.00,159.00,1.35
170,2023-03-15,-89.00,161.00,1.35
171,2023-03-15,-89.00,163.00,1.35
172,2023-03-15,-89.00,165.00,1.35
173,2023-03-15,-89.00,167.00,1.35
174,2023-03-15,-89.00,169.00,1.35
175,2023-03-15,-89.00,171.00,1.35
176,2023-03-15,-89.00,173.00,1.35
177,2023-03-15,-89.00,175.00,1.35
178,2023-03-15,-89.00,177.00,1.35
179,2023-03-15,-89.00,179.00,1.35
180,2023-03-15,-87.00,-179.00,1.35
181,2023-03-15,-87.00,-177.00,1.35
182,2023-03-15,-87.00,-175.00,1.35
183,2023-03-15,-87.00,-173.00,1.35
184,2023-03-15,-87.00,-171.00,1.35
