year,area,period,anomaly
1950,GLB,Mar,-0.07
1951,GLB,Mar,-0.2
1952,GLB,Mar,-0.08
1953,GLB,Mar,0.11
1954,GLB,Mar,-0.14
1955,GLB,Mar,-0.32
1956,GLB,Mar,-0.21
1957,GLB,Mar,-0.05
1958,GLB,Mar,0.08
1959,GLB,Mar,0.18
1960,GLB,Mar,-0.35
1961,GLB,Mar,0.09
1962,GLB,Mar,0.1
1963,GLB,Mar,-0.14
1964,GLB,Mar,-0.21
1965,GLB,Mar,-0.13
1966,GLB,Mar,0.03
1967,GLB,Mar,0.05
1968,GLB,Mar,0.2
1969,GLB,Mar,0.01
1970,GLB,Mar,0.06
1971,GLB,Mar,-0.18
1972,GLB,Mar,0.02
1973,GLB,Mar,0.29
1974,GLB,Mar,-0.05
1975,GLB,Mar,0.13
1976,GLB,Mar,-0.21
1977,GLB,Mar,0.24
1978,GLB,Mar,0.19
1979,GLB,Mar,0.19
1980,GLB,Mar,0.3
1981,GLB,Mar,0.48
1982,GLB,Mar,0.03
1983,GLB,Mar,0.42
1984,GLB,Mar,0.26
1985,GLB,Mar,0.17
1986,GLB,Mar,0.3
1987,GLB,Mar,0.18
1988,GLB,Mar,0.51
1989,GLB,Mar,0.36
1990,GLB,Mar,0.8
1991,GLB,Mar,0.35
1992,GLB,Mar,0.48
1993,GLB,Mar,0.36
1994,GLB,Mar,0.29
1995,GLB,Mar,0.47
1996,GLB,Mar,0.32
1997,GLB,Mar,0.52
1998,GLB,Mar,0.63
1999,GLB,Mar,0.32
2000,GLB,Mar,0.55
2001,GLB,Mar,0.56
2002,GLB,Mar,0.88
2003,GLB,Mar,0.59
2004,GLB,Mar,0.63
2005,GLB,Mar,0.74
2006,GLB,Mar,0.63
2007,GLB,Mar,0.72
2008,GLB,Mar,0.74
2009,GLB,Mar,0.54
2010,GLB,Mar,0.92
2011,GLB,Mar,0.65
2012,GLB,Mar,0.58
2013,GLB,Mar,0.67
2014,GLB,Mar,0.78
2015,GLB,Mar,0.95
2016,GLB,Mar,1.36
2017,GLB,Mar,1.16
2018,GLB,Mar,0.88
2019,GLB,Mar,1.16
2020,GLB,Mar,1.17
2021,GLB,Mar,0.88
2022,GLB,Mar,1.05
2023,GLB,Mar,NULL
1880,NH,Mar,-0.23
1881,NH,Mar,-0.04
1882,NH,Mar,0.01
1883,NH,Mar,-0.16
1884,NH,Mar,-0.64
1885,NH,Mar,-0.24
1886,NH,Mar,-0.71
1887,NH,Mar,-0.44
1888,NH,Mar,-0.64
1889,NH,Mar,-0.02
1890,NH,Mar,-0.47
1891,NH,Mar,-0.16
1892,NH,Mar,-0.68
1893,NH,Mar,-0.32
1894,NH,Mar,-0.21
1895,NH,Mar,-0.49
1896,NH,Mar,-0.49
1897,NH,Mar,-0.39
1898,NH,Mar,-0.8
1899,NH,Mar,-0.59
1900,NH,Mar,0.06
1901,NH,Mar,0.27
1902,NH,Mar,-0.37
1903,NH,Mar,-0.14
1904,NH,Mar,-0.4
1905,NH,Mar,-0.23
1906,NH,Mar,-0.21
1907,NH,Mar,-0.31
1908,NH,Mar,-0.7
1909,NH,Mar,-0.67
1910,NH,Mar,-0.49
1911,NH,Mar,-0.64
1912,NH,Mar,-0.6
1913,NH,Mar,-0.47
1914,NH,Mar,-0.36
1915,NH,Mar,-0.24
1916,NH,Mar,-0.39
1917,NH,Mar,-0.75
1918,NH,Mar,-0.25
1919,NH,Mar,-0.38
1920,NH,Mar,0.0
1921,NH,Mar,-0.11
1922,NH,Mar,-0.11
1923,NH,Mar,-0.39
1924,NH,Mar,0.03
1925,NH,Mar,-0.23
1926,NH,Mar,0.38
1927,NH,Mar,-0.46
1928,NH,Mar,-0.23
1929,NH,Mar,-0.19
1930,NH,Mar,0.11
1931,NH,Mar,-0.05
1932,NH,Mar,-0.2
1933,NH,Mar,-0.31
1934,NH,Mar,-0.27
1935,NH,Mar,0.03
1936,NH,Mar,-0.12
1937,NH,Mar,-0.23
1938,NH,Mar,0.34
1939,NH,Mar,-0.24
1940,NH,Mar,0.03
1941,NH,Mar,0.12
1942,NH,Mar,-0.01
1943,NH,Mar,0.0
1944,NH,Mar,0.31
1945,NH,Mar,0.1
1946,NH,Mar,0.12
1947,NH,Mar,0.29
1948,NH,Mar,-0.27
1949,NH,Mar,0.04
1950,NH,Mar,0.06
1951,NH,Mar,-0.18
1952,NH,Mar,-0.21
1953,NH,Mar,0.26
1954,NH,Mar,-0.16
1955,NH,Mar,-0.43
1956,NH,Mar,-0.23
1957,NH,Mar,-0.1
1958,NH,Mar,0.16
1959,NH,Mar,0.33
1960,NH,Mar,-0.4
1961,NH,Mar,0.22
1962,NH,Mar,0.3
1963,NH,Mar,-0.11
1964,NH,Mar,-0.32
1965,NH,Mar,-0.1
1966,NH,Mar,-0.01
1967,NH,Mar,0.23
1968,NH,Mar,0.44
1969,NH,Mar,-0.2
1970,NH,Mar,-0.07
1971,NH,Mar,-0.28
1972,NH,Mar,0.01
1973,NH,Mar,0.31
1974,NH,Mar,0.02
1975,NH,Mar,0.1
1976,NH,Mar,-0.31
1977,NH,Mar,0.26
1978,NH,Mar,0.21
1979,NH,Mar,0.18
1980,NH,Mar,0.07
1981,NH,Mar,0.67
1982,NH,Mar,0.06
1983,NH,Mar,0.42
1984,NH,Mar,0.18
1985,NH,Mar,0.0
1986,NH,Mar,0.26
1987,NH,Mar,0.0
1988,NH,Mar,0.47
1989,NH,Mar,0.45
1990,NH,Mar,1.16
1991,NH,Mar,0.45
1992,NH,Mar,0.54
1993,NH,Mar,0.38
1994,NH,Mar,0.49
1995,NH,Mar,0.59
1996,NH,Mar,0.32
1997,NH,Mar,0.74
1998,NH,Mar,0.72
1999,NH,Mar,0.29
2000,NH,Mar,0.83
2001,NH,Mar,0.76
2002,NH,Mar,1.12
2003,NH,Mar,0.67
2004,NH,Mar,0.87
2005,NH,Mar,0.94
2006,NH,Mar,0.78
2007,NH,Mar,0.95
2008,NH,Mar,1.14
2009,NH,Mar,0.59
2010,NH,Mar,1.1
2011,NH,Mar,0.88
2012,NH,Mar,0.71
2013,NH,Mar,0.81
2014,NH,Mar,1.19
2015,NH,Mar,1.32
2016,NH,Mar,1.9
2017,NH,Mar,1.51
2018,NH,Mar,1.16
2019,NH,Mar,1.53
2020,NH,Mar,1.66
2021,NH,Mar,1.2
2022,NH,Mar,1.43
2023,NH,Mar,NULL
1880,SH,Mar,0.06
1881,SH,Mar,0.1
1882,SH,Mar,0.08
1883,SH,Mar,-0.08
1884,SH,Mar,-0.09
1885,SH,Mar,-0.29
1886,SH,Mar,-0.16
1887,SH,Mar,-0.27
1888,SH,Mar,-0.2
1889,SH,Mar,0.13
1890,SH,Mar,-0.33
1891,SH,Mar,-0.2
1892,SH,Mar,-0.13
1893,SH,Mar,-0.11
1894,SH,Mar,-0.23
1895,SH,Mar,-0.16
1896,SH,Mar,-0.03
1897,SH,Mar,0.12
1898,SH,Mar,-0.23
1899,SH,Mar,-0.13
1900,SH,Mar,-0.04
1901,SH,Mar,-0.14
1902,SH,Mar,-0.17
1903,SH,Mar,-0.3
1904,SH,Mar,-0.56
1905,SH,Mar,-0.2
1906,SH,Mar,-0.16
1907,SH,Mar,-0.23
1908,SH,Mar,-0.39
1909,SH,Mar,-0.41
1910,SH,Mar,-0.52
1911,SH,Mar,-0.57
1912,SH,Mar,-0.14
1913,SH,Mar,-0.37
1914,SH,Mar,-0.11
1915,SH,Mar,0.05
1916,SH,Mar,-0.17
1917,SH,Mar,-0.53
1918,SH,Mar,-0.25
1919,SH,Mar,-0.02
1920,SH,Mar,-0.24
1921,SH,Mar,-0.36
1922,SH,Mar,-0.19
1923,SH,Mar,-0.29
1924,SH,Mar,-0.18
1925,SH,Mar,-0.32
1926,SH,Mar,-0.14
1927,SH,Mar,-0.3
1928,SH,Mar,-0.26
1929,SH,Mar,-0.46
1930,SH,Mar,-0.33
1931,SH,Mar,-0.12
1932,SH,Mar,-0.15
1933,SH,Mar,-0.26
1934,SH,Mar,-0.32
1935,SH,Mar,-0.31
1936,SH,Mar,-0.28
1937,SH,Mar,-0.17
1938,SH,Mar,-0.15
1939,SH,Mar,-0.11
1940,SH,Mar,0.17
1941,SH,Mar,0.1
1942,SH,Mar,0.12
1943,SH,Mar,-0.07
1944,SH,Mar,0.21
1945,SH,Mar,0.03
1946,SH,Mar,-0.08
1947,SH,Mar,-0.16
1948,SH,Mar,-0.2
1949,SH,Mar,-0.08
1950,SH,Mar,-0.22
1951,SH,Mar,-0.22
1952,SH,Mar,0.07
1953,SH,Mar,-0.02
1954,SH,Mar,-0.12
1955,SH,Mar,-0.22
1956,SH,Mar,-0.19
1957,SH,Mar,0.0
1958,SH,Mar,0.01
1959,SH,Mar,0.02
1960,SH,Mar,-0.29
1961,SH,Mar,-0.04
1962,SH,Mar,-0.09
1963,SH,Mar,-0.16
1964,SH,Mar,-0.1
1965,SH,Mar,-0.16
1966,SH,Mar,0.07
1967,SH,Mar,-0.14
1968,SH,Mar,-0.05
1969,SH,Mar,0.22
1970,SH,Mar,0.19
1971,SH,Mar,-0.08
1972,SH,Mar,0.04
1973,SH,Mar,0.26
1974,SH,Mar,-0.14
1975,SH,Mar,0.14
1976,SH,Mar,-0.12
1977,SH,Mar,0.22
1978,SH,Mar,0.17
1979,SH,Mar,0.2
1980,SH,Mar,0.52
1981,SH,Mar,0.28
1982,SH,Mar,0.01
1983,SH,Mar,0.41
1984,SH,Mar,0.35
1985,SH,Mar,0.35
1986,SH,Mar,0.34
1987,SH,Mar,0.37
1988,SH,Mar,0.56
1989,SH,Mar,0.25
1990,SH,Mar,0.42
1991,SH,Mar,0.25
1992,SH,Mar,0.41
1993,SH,Mar,0.33
1994,SH,Mar,0.09
1995,SH,Mar,0.34
1996,SH,Mar,0.33
1997,SH,Mar,0.28
1998,SH,Mar,0.54
1999,SH,Mar,0.35
2000,SH,Mar,0.25
2001,SH,Mar,0.35
2002,SH,Mar,0.64
2003,SH,Mar,0.52
2004,SH,Mar,0.39
2005,SH,Mar,0.53
2006,SH,Mar,0.47
2007,SH,Mar,0.49
2008,SH,Mar,0.33
2009,SH,Mar,0.48
2010,SH,Mar,0.74
2011,SH,Mar,0.41
2012,SH,Mar,0.43
2013,SH,Mar,0.52
2014,SH,Mar,0.35
2015,SH,Mar,0.58
2016,SH,Mar,0.81
2017,SH,Mar,0.79
2018,SH,Mar,0.59
2019,SH,Mar,0.78
2020,SH,Mar,0.67
2021,SH,Mar,0.56
2022,SH,Mar,0.66
2023,SH,Mar,NULL
1880,GLB,Apr,-0.16
1881,GLB,Apr,0.05
1882,GLB,Apr,-0.16
1883,GLB,Apr,-0.18
1884,GLB,Apr,-0.39
1885,GLB,Apr,-0.41
1886,GLB,Apr,-0.28
1887,GLB,Apr,-0.34
1888,GLB,Apr,-0.2
1889,GLB,Apr,0.1
1890,GLB,Apr,-0.29
1891,GLB,Apr,-0.27
1892,GLB,Apr,-0.33
1893,GLB,Apr,-0.27
1894,GLB,Apr,-0.44
1895,GLB,Apr,-0.21
1896,GLB,Apr,-0.3
1897,GLB,Apr,-0.02
1898,GLB,Apr,-0.31
1899,GLB,Apr,-0.2
1900,GLB,Apr,-0.09
1901,GLB,Apr,-0.02
1902,GLB,Apr,-0.27
1903,GLB,Apr,-0.4
1904,GLB,Apr,-0.5
1905,GLB,Apr,-0.33
1906,GLB,Apr,-0.05
1907,GLB,Apr,-0.37
1908,GLB,Apr,-0.44
1909,GLB,Apr,-0.59
1910,GLB,Apr,-0.42
1911,GLB,Apr,-0.53
1912,GLB,Apr,-0.18
1913,GLB,Apr,-0.39
1914,GLB,Apr,-0.29
1915,GLB,Apr,0.06
1916,GLB,Apr,-0.3
1917,GLB,Apr,-0.55
1918,GLB,Apr,-0.44
1919,GLB,Apr,-0.12
1920,GLB,Apr,-0.24
1921,GLB,Apr,-0.3
1922,GLB,Apr,-0.23
1923,GLB,Apr,-0.4
1924,GLB,Apr,-0.31
1925,GLB,Apr,-0.25
1926,GLB,Apr,-0.12
1927,GLB,Apr,-0.3
1928,GLB,Apr,-0.27
1929,GLB,Apr,-0.41
1930,GLB,Apr,-0.25
1931,GLB,Apr,-0.22
1932,GLB,Apr,-0.05
1933,GLB,Apr,-0.24
1934,GLB,Apr,-0.31
1935,GLB,Apr,-0.36
1936,GLB,Apr,-0.2
1937,GLB,Apr,-0.16
1938,GLB,Apr,0.06
1939,GLB,Apr,-0.09
1940,GLB,Apr,0.18
1941,GLB,Apr,0.16
1942,GLB,Apr,0.1
1943,GLB,Apr,0.11
1944,GLB,Apr,0.19
1945,GLB,Apr,0.19
1946,GLB,Apr,0.06
1947,GLB,Apr,0.06
1948,GLB,Apr,-0.12
1949,GLB,Apr,-0.11
1950,GLB,Apr,-0.21
1951,GLB,Apr,-0.14
1952,GLB,Apr,0.03
1953,GLB,Apr,0.19
1954,GLB,Apr,-0.14
1955,GLB,Apr,-0.22
1956,GLB,Apr,-0.28
1957,GLB,Apr,0.0
1958,GLB,Apr,0.01
1959,GLB,Apr,0.16
1960,GLB,Apr,-0.15
1961,GLB,Apr,0.13
1962,GLB,Apr,0.05
1963,GLB,Apr,-0.07
1964,GLB,Apr,-0.32
1965,GLB,Apr,-0.19
1966,GLB,Apr,-0.13
1967,GLB,Apr,-0.05
1968,GLB,Apr,-0.06
1969,GLB,Apr,0.17
1970,GLB,Apr,0.05
1971,GLB,Apr,-0.07
1972,GLB,Apr,0.0
1973,GLB,Apr,0.27
1974,GLB,Apr,-0.12
1975,GLB,Apr,0.04
1976,GLB,Apr,-0.07
1977,GLB,Apr,0.26
1978,GLB,Apr,0.17
1979,GLB,Apr,0.15
1980,GLB,Apr,0.3
1981,GLB,Apr,0.32
1982,GLB,Apr,0.15
1983,GLB,Apr,0.28
1984,GLB,Apr,0.06
1985,GLB,Apr,0.12
1986,GLB,Apr,0.22
1987,GLB,Apr,0.24
1988,GLB,Apr,0.42
1989,GLB,Apr,0.29
1990,GLB,Apr,0.56
1991,GLB,Apr,0.51
1992,GLB,Apr,0.27
1993,GLB,Apr,0.28
1994,GLB,Apr,0.41
1995,GLB,Apr,0.47
1996,GLB,Apr,0.33
1997,GLB,Apr,0.33
1998,GLB,Apr,0.63
1999,GLB,Apr,0.32
2000,GLB,Apr,0.57
2001,GLB,Apr,0.5
2002,GLB,Apr,0.58
2003,GLB,Apr,0.55
2004,GLB,Apr,0.61
2005,GLB,Apr,0.67
2006,GLB,Apr,0.47
2007,GLB,Apr,0.75
2008,GLB,Apr,0.53
2009,GLB,Apr,0.61
2010,GLB,Apr,0.84
2011,GLB,Apr,0.65
2012,GLB,Apr,0.72
2013,GLB,Apr,0.54
2014,GLB,Apr,0.79
2015,GLB,Apr,0.76
2016,GLB,Apr,1.1
2017,GLB,Apr,0.94
2018,GLB,Apr,0.89
2019,GLB,Apr,1.01
2020,GLB,Apr,1.13
2021,GLB,Apr,0.75
2022,GLB,Apr,0.83
2023,GLB,Apr,NULL
1880,NH,Apr,-0.3
1881,NH,Apr,0.0
1882,NH,Apr,-0.31
1883,NH,Apr,-0.3
1884,NH,Apr,-0.59
1885,NH,Apr,-0.49
1886,NH,Apr,-0.37
1887,NH,Apr,-0.38
1888,NH,Apr,-0.22
1889,NH,Apr,0.16
1890,NH,Apr,-0.25
1891,NH,Apr,-0.36
1892,NH,Apr,-0.46
1893,NH,Apr,-0.3
1894,NH,Apr,-0.53
1895,NH,Apr,-0.18
1896,NH,Apr,-0.6
1897,NH,Apr,-0.04
1898,NH,Apr,-0.28
1899,NH,Apr,-0.23
1900,NH,Apr,-0.1
1901,NH,Apr,0.11
1902,NH,Apr,-0.37
1903,NH,Apr,-0.45
1904,NH,Apr,-0.5
1905,NH,Apr,-0.45
1906,NH,Apr,0.04
1907,NH,Apr,-0.45
1908,NH,Apr,-0.48
1909,NH,Apr,-0.66
1910,NH,Apr,-0.41
1911,NH,Apr,-0.45
1912,NH,Apr,-0.16
1913,NH,Apr,-0.5
1914,NH,Apr,-0.39
1915,NH,Apr,0.07
1916,NH,Apr,-0.34
1917,NH,Apr,-0.65
1918,NH,Apr,-0.59
1919,NH,Apr,-0.24
1920,NH,Apr,-0.21
1921,NH,Apr,-0.17
1922,NH,Apr,-0.16
1923,NH,Apr,-0.53
1924,NH,Apr,-0.28
1925,NH,Apr,-0.16
1926,NH,Apr,-0.12
1927,NH,Apr,-0.26
1928,NH,Apr,-0.31
1929,NH,Apr,-0.35
1930,NH,Apr,-0.15
1931,NH,Apr,-0.2
1932,NH,Apr,0.1
1933,NH,Apr,-0.16
1934,NH,Apr,-0.29
1935,NH,Apr,-0.35
1936,NH,Apr,-0.05
1937,NH,Apr,-0.07
1938,NH,Apr,0.31
1939,NH,Apr,-0.07
1940,NH,Apr,0.28
1941,NH,Apr,0.12
1942,NH,Apr,0.09
1943,NH,Apr,0.31
1944,NH,Apr,0.18
1945,NH,Apr,0.29
1946,NH,Apr,0.32
1947,NH,Apr,0.23
1948,NH,Apr,-0.03
1949,NH,Apr,-0.03
1950,NH,Apr,-0.21
1951,NH,Apr,0.07
1952,NH,Apr,0.18
1953,NH,Apr,0.41
1954,NH,Apr,-0.01
1955,NH,Apr,-0.24
1956,NH,Apr,-0.26
1957,NH,Apr,-0.09
1958,NH,Apr,0.02
1959,NH,Apr,0.22
1960,NH,Apr,-0.13
1961,NH,Apr,0.14
1962,NH,Apr,0.22
1963,NH,Apr,0.04
1964,NH,Apr,-0.3
1965,NH,Apr,-0.26
1966,NH,Apr,-0.22
1967,NH,Apr,0.05
1968,NH,Apr,0.0
1969,NH,Apr,0.03
1970,NH,Apr,-0.02
1971,NH,Apr,-0.2
1972,NH,Apr,-0.12
1973,NH,Apr,0.19
1974,NH,Apr,-0.1
1975,NH,Apr,0.05
1976,NH,Apr,0.02
1977,NH,Apr,0.25
1978,NH,Apr,0.07
1979,NH,Apr,-0.17
1980,NH,Apr,0.15
1981,NH,Apr,0.39
1982,NH,Apr,0.17
1983,NH,Apr,0.06
1984,NH,Apr,-0.07
1985,NH,Apr,-0.04
1986,NH,Apr,0.15
1987,NH,Apr,0.07
1988,NH,Apr,0.44
1989,NH,Apr,0.32
1990,NH,Apr,0.71
1991,NH,Apr,0.55
1992,NH,Apr,0.15
1993,NH,Apr,0.23
1994,NH,Apr,0.48
1995,NH,Apr,0.71
1996,NH,Apr,0.17
1997,NH,Apr,0.49
1998,NH,Apr,0.87
1999,NH,Apr,0.53
2000,NH,Apr,0.89
2001,NH,Apr,0.6
2002,NH,Apr,0.51
2003,NH,Apr,0.61
2004,NH,Apr,0.7
2005,NH,Apr,0.93
2006,NH,Apr,0.59
2007,NH,Apr,1.07
2008,NH,Apr,0.65
2009,NH,Apr,0.7
2010,NH,Apr,1.13
2011,NH,Apr,0.84
2012,NH,Apr,1.06
2013,NH,Apr,0.68
2014,NH,Apr,1.08
2015,NH,Apr,1.02
2016,NH,Apr,1.47
2017,NH,Apr,1.19
2018,NH,Apr,0.96
2019,NH,Apr,1.24
2020,NH,Apr,1.4
2021,NH,Apr,1.12
2022,NH,Apr,1.09
2023,NH,Apr,NULL
1880,SH,Apr,-0.01
1881,SH,Apr,0.1
1882,SH,Apr,-0.01
1883,SH,Apr,-0.07
1884,SH,Apr,-0.21
1885,SH,Apr,-0.35
1886,SH,Apr,-0.19
1887,SH,Apr,-0.3
1888,SH,Apr,-0.19
1889,SH,Apr,0.03
1890,SH,Apr,-0.34
1891,SH,Apr,-0.19
1892,SH,Apr,-0.21
1893,SH,Apr,-0.24
1894,SH,Apr,-0.35
1895,SH,Apr,-0.24
1896,SH,Apr,-0.01
1897,SH,Apr,0.0
1898,SH,Apr,-0.33
1899,SH,Apr,-0.17
1900,SH,Apr,-0.07
1901,SH,Apr,-0.15
1902,SH,Apr,-0.18
1903,SH,Apr,-0.36
1904,SH,Apr,-0.51
1905,SH,Apr,-0.21
1906,SH,Apr,-0.14
1907,SH,Apr,-0.28
1908,SH,Apr,-0.4
1909,SH,Apr,-0.52
1910,SH,Apr,-0.44
1911,SH,Apr,-0.61
1912,SH,Apr,-0.18
1913,SH,Apr,-0.28
1914,SH,Apr,-0.19
1915,SH,Apr,0.06
1916,SH,Apr,-0.26
1917,SH,Apr,-0.46
1918,SH,Apr,-0.3
1919,SH,Apr,-0.01
1920,SH,Apr,-0.27
1921,SH,Apr,-0.43
1922,SH,Apr,-0.3
1923,SH,Apr,-0.28
1924,SH,Apr,-0.33
1925,SH,Apr,-0.35
1926,SH,Apr,-0.11
1927,SH,Apr,-0.34
1928,SH,Apr,-0.23
1929,SH,Apr,-0.47
1930,SH,Apr,-0.33
1931,SH,Apr,-0.22
1932,SH,Apr,-0.2
1933,SH,Apr,-0.31
1934,SH,Apr,-0.33
1935,SH,Apr,-0.38
1936,SH,Apr,-0.33
1937,SH,Apr,-0.24
1938,SH,Apr,-0.19
1939,SH,Apr,-0.12
1940,SH,Apr,0.09
1941,SH,Apr,0.23
1942,SH,Apr,0.1
1943,SH,Apr,-0.1
1944,SH,Apr,0.21
1945,SH,Apr,0.1
1946,SH,Apr,-0.2
1947,SH,Apr,-0.11
1948,SH,Apr,-0.2
1949,SH,Apr,-0.19
1950,SH,Apr,-0.2
1951,SH,Apr,-0.35
1952,SH,Apr,-0.1
1953,SH,Apr,-0.02
1954,SH,Apr,-0.27
1955,SH,Apr,-0.22
1956,SH,Apr,-0.3
1957,SH,Apr,0.09
1958,SH,Apr,0.01
1959,SH,Apr,0.09
1960,SH,Apr,-0.17
1961,SH,Apr,0.12
1962,SH,Apr,-0.13
1963,SH,Apr,-0.18
1964,SH,Apr,-0.32
1965,SH,Apr,-0.12
1966,SH,Apr,-0.04
1967,SH,Apr,-0.15
1968,SH,Apr,-0.12
1969,SH,Apr,0.31
1970,SH,Apr,0.13
1971,SH,Apr,0.06
1972,SH,Apr,0.12
1973,SH,Apr,0.36
1974,SH,Apr,-0.13
1975,SH,Apr,0.02
1976,SH,Apr,-0.17
1977,SH,Apr,0.27
1978,SH,Apr,0.26
1979,SH,Apr,0.47
1980,SH,Apr,0.46
1981,SH,Apr,0.26
1982,SH,Apr,0.13
1983,SH,Apr,0.5
1984,SH,Apr,0.19
1985,SH,Apr,0.27
1986,SH,Apr,0.3
1987,SH,Apr,0.42
1988,SH,Apr,0.41
1989,SH,Apr,0.26
1990,SH,Apr,0.42
1991,SH,Apr,0.46
1992,SH,Apr,0.39
1993,SH,Apr,0.32
1994,SH,Apr,0.34
1995,SH,Apr,0.22
1996,SH,Apr,0.48
1997,SH,Apr,0.18
1998,SH,Apr,0.4
1999,SH,Apr,0.09
2000,SH,Apr,0.24
2001,SH,Apr,0.41
2002,SH,Apr,0.65
2003,SH,Apr,0.49
2004,SH,Apr,0.52
2005,SH,Apr,0.41
2006,SH,Apr,0.34
2007,SH,Apr,0.44
2008,SH,Apr,0.41
2009,SH,Apr,0.51
2010,SH,Apr,0.56
2011,SH,Apr,0.45
2012,SH,Apr,0.37
2013,SH,Apr,0.39
2014,SH,Apr,0.5
2015,SH,Apr,0.49
2016,SH,Apr,0.73
2017,SH,Apr,0.68
2018,SH,Apr,0.8
2019,SH,Apr,0.78
2020,SH,Apr,0.85
2021,SH,Apr,0.38
2022,SH,Apr,0.58
2023,SH,Apr,NULL
1880,GLB,May,-0.1
1881,GLB,May,0.06
1882,GLB,May,-0.14
1883,GLB,May,-0.18
1884,GLB,May,-0.33
1885,GLB,May,-0.45
1886,GLB,May,-0.24
1887,GLB,May,-0.3
1888,GLB,May,-0.21
1889,GLB,May,0.0
1890,GLB,May,-0.39
1891,GLB,May,-0.16
1892,GLB,May,-0.23
1893,GLB,May,-0.33
1894,GLB,May,-0.3
1895,GLB,May,-0.27
1896,GLB,May,-0.15
1897,GLB,May,-0.01
1898,GLB,May,-0.3
1899,GLB,May,-0.22
1900,GLB,May,-0.08
1901,GLB,May,-0.14
1902,GLB,May,-0.31
1903,GLB,May,-0.39
1904,GLB,May,-0.51
1905,GLB,May,-0.29
1906,GLB,May,-0.25
1907,GLB,May,-0.46
1908,GLB,May,-0.37
1909,GLB,May,-0.54
1910,GLB,May,-0.33
1911,GLB,May,-0.51
1912,GLB,May,-0.21
1913,GLB,May,-0.44
1914,GLB,May,-0.21
1915,GLB,May,-0.06
1916,GLB,May,-0.34
1917,GLB,May,-0.55
1918,GLB,May,-0.43
1919,GLB,May,-0.28
1920,GLB,May,-0.27
1921,GLB,May,-0.3
1922,GLB,May,-0.33
1923,GLB,May,-0.33
1924,GLB,May,-0.18
1925,GLB,May,-0.29
1926,GLB,May,-0.23
1927,GLB,May,-0.25
1928,GLB,May,-0.3
1929,GLB,May,-0.38
1930,GLB,May,-0.23
1931,GLB,May,-0.19
1932,GLB,May,-0.16
1933,GLB,May,-0.28
1934,GLB,May,-0.09
1935,GLB,May,-0.28
1936,GLB,May,-0.16
1937,GLB,May,-0.05
1938,GLB,May,-0.09
1939,GLB,May,-0.04
1940,GLB,May,0.11
1941,GLB,May,0.17
1942,GLB,May,0.11
1943,GLB,May,0.07
1944,GLB,May,0.19
1945,GLB,May,0.06
1946,GLB,May,-0.07
1947,GLB,May,-0.02
1948,GLB,May,-0.01
1949,GLB,May,-0.1
1950,GLB,May,-0.11
1951,GLB,May,0.0
1952,GLB,May,-0.03
1953,GLB,May,0.12
1954,GLB,May,-0.2
1955,GLB,May,-0.2
1956,GLB,May,-0.29
1957,GLB,May,0.09
1958,GLB,May,0.06
1959,GLB,May,0.04
1960,GLB,May,-0.08
1961,GLB,May,0.12
1962,GLB,May,-0.06
1963,GLB,May,-0.06
1964,GLB,May,-0.25
1965,GLB,May,-0.12
1966,GLB,May,-0.12
1967,GLB,May,0.12
1968,GLB,May,-0.14
1969,GLB,May,0.18
1970,GLB,May,-0.03
1971,GLB,May,-0.05
1972,GLB,May,-0.03
1973,GLB,May,0.23
1974,GLB,May,-0.04
1975,GLB,May,0.16
1976,GLB,May,-0.21
1977,GLB,May,0.33
1978,GLB,May,0.09
1979,GLB,May,0.04
1980,GLB,May,0.35
1981,GLB,May,0.24
1982,GLB,May,0.18
1983,GLB,May,0.33
1984,GLB,May,0.33
1985,GLB,May,0.14
1986,GLB,May,0.21
1987,GLB,May,0.25
1988,GLB,May,0.44
1989,GLB,May,0.17
1990,GLB,May,0.45
1991,GLB,May,0.34
1992,GLB,May,0.31
1993,GLB,May,0.28
1994,GLB,May,0.28
1995,GLB,May,0.27
1996,GLB,May,0.27
1997,GLB,May,0.34
1998,GLB,May,0.68
1999,GLB,May,0.26
2000,GLB,May,0.36
2001,GLB,May,0.57
2002,GLB,May,0.64
2003,GLB,May,0.61
2004,GLB,May,0.37
2005,GLB,May,0.63
2006,GLB,May,0.47
2007,GLB,May,0.69
2008,GLB,May,0.49
2009,GLB,May,0.65
2010,GLB,May,0.75
2011,GLB,May,0.53
2012,GLB,May,0.78
2013,GLB,May,0.61
2014,GLB,May,0.86
2015,GLB,May,0.79
2016,GLB,May,0.95
2017,GLB,May,0.91
2018,GLB,May,0.82
2019,GLB,May,0.85
2020,GLB,May,1.02
2021,GLB,May,0.78
2022,GLB,May,0.84
2023,GLB,May,NULL
1880,NH,May,-0.06
1881,NH,May,0.03
1882,NH,May,-0.24
1883,NH,May,-0.26
1884,NH,May,-0.36
1885,NH,May,-0.58
1886,NH,May,-0.34
1887,NH,May,-0.26
1888,NH,May,-0.15
1889,NH,May,-0.04
1890,NH,May,-0.36
1891,NH,May,-0.16
1892,NH,May,-0.24
1893,NH,May,-0.43
1894,NH,May,-0.25
1895,NH,May,-0.3
1896,NH,May,-0.16
1897,NH,May,0.14
1898,NH,May,-0.28
1899,NH,May,-0.24
1900,NH,May,-0.03
1901,NH,May,-0.11
1902,NH,May,-0.38
1903,NH,May,-0.42
1904,NH,May,-0.44
