year,area,period,anomaly
1944,NH,Jan,0.62
1945,NH,Jan,0.11
1946,NH,Jan,0.34
1947,NH,Jan,-0.04
1948,NH,Jan,0.3
1949,NH,Jan,0.23
1950,NH,Jan,-0.29
1951,NH,Jan,-0.36
1952,NH,Jan,0.17
1953,NH,Jan,0.24
1954,NH,Jan,-0.24
1955,NH,Jan,0.43
1956,NH,Jan,-0.04
1957,NH,Jan,-0.13
1958,NH,Jan,0.68
1959,NH,Jan,0.24
1960,NH,Jan,0.15
1961,NH,Jan,0.17
1962,NH,Jan,0.28
1963,NH,Jan,0.08
1964,NH,Jan,-0.04
1965,NH,Jan,-0.02
1966,NH,Jan,-0.25
1967,NH,Jan,-0.18
1968,NH,Jan,-0.29
1969,NH,Jan,-0.43
1970,NH,Jan,-0.03
1971,NH,Jan,-0.15
1972,NH,Jan,-0.54
1973,NH,Jan,0.15
1974,NH,Jan,-0.25
1975,NH,Jan,0.16
1976,NH,Jan,0.05
1977,NH,Jan,-0.16
1978,NH,Jan,0.16
1979,NH,Jan,-0.05
1980,NH,Jan,0.21
1981,NH,Jan,0.79
1982,NH,Jan,-0.14
1983,NH,Jan,0.55
1984,NH,Jan,0.33
1985,NH,Jan,0.07
1986,NH,Jan,0.36
1987,NH,Jan,0.25
1988,NH,Jan,0.59
1989,NH,Jan,0.08
1990,NH,Jan,0.47
1991,NH,Jan,0.59
1992,NH,Jan,0.6
1993,NH,Jan,0.38
1994,NH,Jan,0.34
1995,NH,Jan,0.75
1996,NH,Jan,0.26
1997,NH,Jan,0.36
1998,NH,Jan,0.62
1999,NH,Jan,0.59
2000,NH,Jan,0.38
2001,NH,Jan,0.56
2002,NH,Jan,1.02
2003,NH,Jan,0.93
2004,NH,Jan,0.67
2005,NH,Jan,0.94
2006,NH,Jan,0.64
2007,NH,Jan,1.45
2008,NH,Jan,0.34
2009,NH,Jan,0.82
2010,NH,Jan,0.81
2011,NH,Jan,0.61
2012,NH,Jan,0.68
2013,NH,Jan,0.85
2014,NH,Jan,0.97
2015,NH,Jan,1.18
2016,NH,Jan,1.54
2017,NH,Jan,1.38
2018,NH,Jan,1.13
2019,NH,Jan,1.19
2020,NH,Jan,1.59
2021,NH,Jan,1.26
2022,NH,Jan,1.24
2023,NH,Jan,1.28
1880,SH,Jan,0.01
1881,SH,Jan,-0.08
1882,SH,Jan,0.07
1883,SH,Jan,-0.02
1884,SH,Jan,-0.08
1885,SH,Jan,-0.19
1886,SH,Jan,-0.14
1887,SH,Jan,-0.36
1888,SH,Jan,-0.2
1889,SH,Jan,0.09
1890,SH,Jan,-0.2
1891,SH,Jan,-0.21
1892,SH,Jan,-0.08
1893,SH,Jan,-0.12
1894,SH,Jan,-0.13
1895,SH,Jan,-0.12
1896,SH,Jan,-0.08
1897,SH,Jan,0.1
1898,SH,Jan,-0.09
1899,SH,Jan,-0.19
1900,SH,Jan,-0.1
1901,SH,Jan,-0.1
1902,SH,Jan,-0.18
