year,area,anomaly
1919,24S-EQU,-0.16
1920,24S-EQU,-0.12
1921,24S-EQU,-0.2
1922,24S-EQU,-0.31
1923,24S-EQU,-0.26
1924,24S-EQU,-0.24
1925,24S-EQU,-0.19
1926,24S-EQU,0.03
1927,24S-EQU,-0.17
1928,24S-EQU,-0.15
1929,24S-EQU,-0.27
1930,24S-EQU,-0.11
1931,24S-EQU,0.07
1932,24S-EQU,-0.12
1933,24S-EQU,-0.27
1934,24S-EQU,-0.23
1935,24S-EQU,-0.19
1936,24S-EQU,-0.19
1937,24S-EQU,-0.1
1938,24S-EQU,-0.26
1939,24S-EQU,-0.12
1940,24S-EQU,0.3
1941,24S-EQU,0.45
1942,24S-EQU,0.04
1943,24S-EQU,-0.05
1944,24S-EQU,0.27
1945,24S-EQU,0.24
1946,24S-EQU,-0.06
1947,24S-EQU,-0.08
1948,24S-EQU,-0.13
1949,24S-EQU,-0.14
1950,24S-EQU,-0.27
1951,24S-EQU,-0.11
1952,24S-EQU,0.05
1953,24S-EQU,0.07
1954,24S-EQU,-0.28
1955,24S-EQU,-0.38
1956,24S-EQU,-0.37
1957,24S-EQU,0.1
1958,24S-EQU,0.15
1959,24S-EQU,0.08
1960,24S-EQU,-0.02
1961,24S-EQU,0.0
1962,24S-EQU,-0.05
1963,24S-EQU,0.1
1964,24S-EQU,-0.14
1965,24S-EQU,0.02
1966,24S-EQU,-0.01
1967,24S-EQU,-0.17
1968,24S-EQU,-0.11
1969,24S-EQU,0.32
1970,24S-EQU,0.06
1971,24S-EQU,-0.22
1972,24S-EQU,0.26
1973,24S-EQU,0.3
1974,24S-EQU,-0.17
1975,24S-EQU,-0.17
1976,24S-EQU,-0.1
1977,24S-EQU,0.22
1978,24S-EQU,0.05
1979,24S-EQU,0.27
1980,24S-EQU,0.29
1981,24S-EQU,0.14
1982,24S-EQU,0.29
1983,24S-EQU,0.58
1984,24S-EQU,0.3
1985,24S-EQU,0.14
1986,24S-EQU,0.27
1987,24S-EQU,0.62
1988,24S-EQU,0.42
1989,24S-EQU,0.19
1990,24S-EQU,0.36
1991,24S-EQU,0.4
1992,24S-EQU,0.36
1993,24S-EQU,0.35
1994,24S-EQU,0.34
1995,24S-EQU,0.44
1996,24S-EQU,0.32
1997,24S-EQU,0.52
1998,24S-EQU,0.79
1999,24S-EQU,0.25
2000,24S-EQU,0.28
2001,24S-EQU,0.44
2002,24S-EQU,0.63
2003,24S-EQU,0.66
2004,24S-EQU,0.53
2005,24S-EQU,0.61
2006,24S-EQU,0.54
2007,24S-EQU,0.47
2008,24S-EQU,0.41
2009,24S-EQU,0.7
2010,24S-EQU,0.64
2011,24S-EQU,0.34
2012,24S-EQU,0.56
2013,24S-EQU,0.57
2014,24S-EQU,0.64
2015,24S-EQU,0.93
2016,24S-EQU,1.05
2017,24S-EQU,0.75
2018,24S-EQU,0.61
2019,24S-EQU,0.88
2020,24S-EQU,0.83
2021,24S-EQU,0.58
2022,24S-EQU,0.49
1880,44S-24S,-0.04
1881,44S-24S,-0.05
1882,44S-24S,0.01
1883,44S-24S,-0.04
1884,44S-24S,-0.19
1885,44S-24S,-0.34
1886,44S-24S,-0.2
1887,44S-24S,-0.28
1888,44S-24S,-0.31
1889,44S-24S,-0.15
1890,44S-24S,-0.18
1891,44S-24S,-0.18
1892,44S-24S,0.02
1893,44S-24S,0.07
1894,44S-24S,-0.15
1895,44S-24S,-0.2
1896,44S-24S,-0.16
1897,44S-24S,-0.2
1898,44S-24S,-0.28
1899,44S-24S,-0.16
1900,44S-24S,-0.29
1901,44S-24S,-0.28
1902,44S-24S,-0.28
1903,44S-24S,-0.36
1904,44S-24S,-0.38
1905,44S-24S,-0.33
1906,44S-24S,-0.21
1907,44S-24S,-0.21
1908,44S-24S,-0.29
1909,44S-24S,-0.38
1910,44S-24S,-0.33
1911,44S-24S,-0.44
1912,44S-24S,-0.37
1913,44S-24S,-0.29
1914,44S-24S,-0.16
1915,44S-24S,-0.15
1916,44S-24S,-0.23
1917,44S-24S,-0.23
1918,44S-24S,-0.06
1919,44S-24S,-0.15
1920,44S-24S,-0.19
1921,44S-24S,-0.23
1922,44S-24S,-0.25
1923,44S-24S,-0.27
1924,44S-24S,-0.4
1925,44S-24S,-0.25
1926,44S-24S,-0.35
1927,44S-24S,-0.31
1928,44S-24S,-0.29
1929,44S-24S,-0.43
1930,44S-24S,-0.33
1931,44S-24S,-0.42
1932,44S-24S,-0.21
1933,44S-24S,-0.22
1934,44S-24S,-0.15
1935,44S-24S,-0.3
1936,44S-24S,-0.27
1937,44S-24S,-0.19
1938,44S-24S,-0.06
1939,44S-24S,-0.04
1940,44S-24S,0.03
1941,44S-24S,0.03
1942,44S-24S,0.06
1943,44S-24S,0.07
1944,44S-24S,0.18
1945,44S-24S,0.03
1946,44S-24S,-0.22
1947,44S-24S,-0.2
1948,44S-24S,-0.2
1949,44S-24S,-0.18
1950,44S-24S,-0.06
1951,44S-24S,-0.22
1952,44S-24S,-0.1
1953,44S-24S,-0.08
1954,44S-24S,-0.18
1955,44S-24S,-0.16
1956,44S-24S,-0.14
1957,44S-24S,-0.09
1958,44S-24S,-0.08
1959,44S-24S,-0.03
1960,44S-24S,-0.1
1961,44S-24S,0.14
1962,44S-24S,0.09
1963,44S-24S,-0.1
1964,44S-24S,-0.3
1965,44S-24S,-0.23
1966,44S-24S,-0.23
1967,44S-24S,-0.09
1968,44S-24S,-0.14
1969,44S-24S,0.0
1970,44S-24S,0.11
1971,44S-24S,0.03
1972,44S-24S,0.16
1973,44S-24S,0.22
1974,44S-24S,0.22
1975,44S-24S,0.13
1976,44S-24S,0.1
1977,44S-24S,0.22
1978,44S-24S,0.21
1979,44S-24S,0.3
1980,44S-24S,0.35
1981,44S-24S,0.28
1982,44S-24S,0.19
1983,44S-24S,0.21
1984,44S-24S,0.16
1985,44S-24S,0.3
1986,44S-24S,0.25
1987,44S-24S,0.32
1988,44S-24S,0.38
1989,44S-24S,0.36
1990,44S-24S,0.38
1991,44S-24S,0.31
1992,44S-24S,0.2
1993,44S-24S,0.27
1994,44S-24S,0.27
1995,44S-24S,0.29
1996,44S-24S,0.33
1997,44S-24S,0.42
1998,44S-24S,0.39
1999,44S-24S,0.46
2000,44S-24S,0.42
2001,44S-24S,0.58
2002,44S-24S,0.5
2003,44S-24S,0.44
2004,44S-24S,0.48
2005,44S-24S,0.49
2006,44S-24S,0.51
2007,44S-24S,0.49
2008,44S-24S,0.52
2009,44S-24S,0.6
2010,44S-24S,0.63
2011,44S-24S,0.64
2012,44S-24S,0.56
2013,44S-24S,0.62
2014,44S-24S,0.72
2015,44S-24S,0.75
2016,44S-24S,0.67
2017,44S-24S,0.76
2018,44S-24S,0.79
2019,44S-24S,0.74
2020,44S-24S,0.58
2021,44S-24S,0.72
2022,44S-24S,0.78
1880,64S-44S,0.05
1881,64S-44S,-0.07
1882,64S-44S,0.04
1883,64S-44S,0.07
1884,64S-44S,-0.02
1885,64S-44S,-0.15
1886,64S-44S,-0.2
1887,64S-44S,-0.26
1888,64S-44S,-0.23
1889,64S-44S,-0.15
1890,64S-44S,-0.27
1891,64S-44S,-0.24
1892,64S-44S,-0.21
1893,64S-44S,-0.2
1894,64S-44S,-0.35
1895,64S-44S,-0.32
1896,64S-44S,-0.13
1897,64S-44S,-0.27
1898,64S-44S,-0.21
1899,64S-44S,-0.22
1900,64S-44S,-0.29
1901,64S-44S,-0.34
1902,64S-44S,-0.43
1903,64S-44S,-0.4
1904,64S-44S,-0.49
1905,64S-44S,-0.37
1906,64S-44S,-0.22
1907,64S-44S,-0.37
1908,64S-44S,-0.48
1909,64S-44S,-0.52
1910,64S-44S,-0.45
1911,64S-44S,-0.53
1912,64S-44S,-0.29
1913,64S-44S,-0.4
1914,64S-44S,-0.18
1915,64S-44S,-0.23
1916,64S-44S,-0.17
1917,64S-44S,-0.09
1918,64S-44S,-0.23
1919,64S-44S,-0.32
1920,64S-44S,-0.48
1921,64S-44S,-0.38
1922,64S-44S,-0.29
1923,64S-44S,-0.41
1924,64S-44S,-0.45
1925,64S-44S,-0.55
1926,64S-44S,-0.45
1927,64S-44S,-0.45
1928,64S-44S,-0.48
1929,64S-44S,-0.44
1930,64S-44S,-0.47
1931,64S-44S,-0.4
1932,64S-44S,-0.53
1933,64S-44S,-0.48
1934,64S-44S,-0.38
1935,64S-44S,-0.42
1936,64S-44S,-0.33
1937,64S-44S,-0.26
1938,64S-44S,-0.11
1939,64S-44S,-0.19
1940,64S-44S,-0.2
1941,64S-44S,-0.15
1942,64S-44S,-0.05
1943,64S-44S,0.0
1944,64S-44S,-0.1
1945,64S-44S,0.0
1946,64S-44S,-0.24
1947,64S-44S,-0.08
1948,64S-44S,-0.19
1949,64S-44S,-0.15
1950,64S-44S,-0.16
1951,64S-44S,-0.16
1952,64S-44S,-0.02
1953,64S-44S,-0.24
1954,64S-44S,-0.2
1955,64S-44S,-0.08
1956,64S-44S,0.02
1957,64S-44S,-0.02
1958,64S-44S,-0.08
1959,64S-44S,-0.26
1960,64S-44S,-0.07
1961,64S-44S,-0.17
1962,64S-44S,-0.07
1963,64S-44S,-0.17
1964,64S-44S,-0.07
1965,64S-44S,-0.03
1966,64S-44S,-0.14
1967,64S-44S,-0.02
1968,64S-44S,0.0
1969,64S-44S,0.13
1970,64S-44S,0.03
1971,64S-44S,0.16
1972,64S-44S,-0.02
1973,64S-44S,0.08
1974,64S-44S,-0.08
1975,64S-44S,0.14
1976,64S-44S,0.22
1977,64S-44S,0.31
1978,64S-44S,0.13
1979,64S-44S,0.33
1980,64S-44S,0.37
1981,64S-44S,0.39
1982,64S-44S,0.32
1983,64S-44S,0.41
1984,64S-44S,0.32
1985,64S-44S,0.44
1986,64S-44S,0.25
1987,64S-44S,0.25
1988,64S-44S,0.2
1989,64S-44S,0.3
1990,64S-44S,0.37
1991,64S-44S,0.29
1992,64S-44S,0.33
1993,64S-44S,0.39
1994,64S-44S,0.23
1995,64S-44S,0.15
1996,64S-44S,0.28
1997,64S-44S,0.36
1998,64S-44S,0.31
1999,64S-44S,0.19
2000,64S-44S,0.1
2001,64S-44S,0.24
2002,64S-44S,0.32
2003,64S-44S,0.24
2004,64S-44S,0.23
2005,64S-44S,0.19
2006,64S-44S,0.19
2007,64S-44S,0.07
2008,64S-44S,0.09
2009,64S-44S,0.15
2010,64S-44S,0.2
2011,64S-44S,0.18
2012,64S-44S,0.19
2013,64S-44S,0.23
2014,64S-44S,0.18
2015,64S-44S,0.18
2016,64S-44S,0.26
2017,64S-44S,0.35
2018,64S-44S,0.38
2019,64S-44S,0.4
2020,64S-44S,0.39
2021,64S-44S,0.32
2022,64S-44S,0.39
1880,90S-64S,0.66
1881,90S-64S,0.58
1882,90S-64S,0.61
1883,90S-64S,0.49
1884,90S-64S,0.64
1885,90S-64S,0.81
1886,90S-64S,0.58
1887,90S-64S,0.31
1888,90S-64S,0.15
1889,90S-64S,0.44
1890,90S-64S,0.14
1891,90S-64S,-0.17
1892,90S-64S,0.08
1893,90S-64S,-0.05
1894,90S-64S,-0.39
1895,90S-64S,-0.59
1896,90S-64S,0.24
1897,90S-64S,0.39
1898,90S-64S,0.37
1899,90S-64S,0.57
1900,90S-64S,0.26
1901,90S-64S,0.25
1902,90S-64S,-0.06
1903,90S-64S,-0.5
1904,90S-64S,-1.33
1905,90S-64S,-0.34
1906,90S-64S,-0.72
1907,90S-64S,-1.21
1908,90S-64S,0.67
1909,90S-64S,-0.58
1910,90S-64S,0.15
1911,90S-64S,0.04
1912,90S-64S,-1.64
1913,90S-64S,-1.05
1914,90S-64S,-0.37
1915,90S-64S,-1.99
1916,90S-64S,-1.06
1917,90S-64S,0.05
1918,90S-64S,-0.29
1919,90S-64S,0.19
1920,90S-64S,-1.15
1921,90S-64S,-0.85
1922,90S-64S,-0.29
1923,90S-64S,-0.55
1924,90S-64S,-0.54
1925,90S-64S,-0.87
1926,90S-64S,-0.64
1927,90S-64S,-1.39
1928,90S-64S,-2.13
1929,90S-64S,-1.09
1930,90S-64S,-2.6
1931,90S-64S,-0.42
1932,90S-64S,-1.0
1933,90S-64S,-1.16
1934,90S-64S,-0.58
1935,90S-64S,-1.72
1936,90S-64S,-0.04
1937,90S-64S,0.35
1938,90S-64S,-0.87
1939,90S-64S,-1.61
1940,90S-64S,-0.06
1941,90S-64S,-0.48
1942,90S-64S,-0.91
1943,90S-64S,1.13
1944,90S-64S,-0.95
1945,90S-64S,-1.79
1946,90S-64S,-0.19
1947,90S-64S,-0.23
1948,90S-64S,-1.39
1949,90S-64S,-1.99
1950,90S-64S,-0.87
1951,90S-64S,-0.7
1952,90S-64S,-0.51
1953,90S-64S,-1.11
1954,90S-64S,-0.82
1955,90S-64S,1.22
1956,90S-64S,0.76
1957,90S-64S,0.49
1958,90S-64S,-0.53
1959,90S-64S,-0.36
1960,90S-64S,-0.75
1961,90S-64S,0.21
1962,90S-64S,-0.65
1963,90S-64S,-0.03
1964,90S-64S,-0.38
1965,90S-64S,-0.01
1966,90S-64S,0.11
1967,90S-64S,0.3
1968,90S-64S,-0.08
1969,90S-64S,-0.14
1970,90S-64S,0.31
1971,90S-64S,0.44
1972,90S-64S,0.45
1973,90S-64S,0.34
1974,90S-64S,0.65
1975,90S-64S,0.29
1976,90S-64S,-0.24
1977,90S-64S,0.28
1978,90S-64S,0.04
1979,90S-64S,-0.2
1980,90S-64S,0.59
1981,90S-64S,0.61
1982,90S-64S,-0.11
1983,90S-64S,0.05
1984,90S-64S,0.51
1985,90S-64S,0.04
1986,90S-64S,-0.11
1987,90S-64S,0.0
1988,90S-64S,0.88
1989,90S-64S,0.36
1990,90S-64S,0.35
1991,90S-64S,0.95
1992,90S-64S,0.4
1993,90S-64S,-0.31
1994,90S-64S,-0.05
1995,90S-64S,0.14
1996,90S-64S,1.19
1997,90S-64S,-0.04
1998,90S-64S,0.11
1999,90S-64S,-0.01
2000,90S-64S,0.26
2001,90S-64S,0.25
2002,90S-64S,0.75
2003,90S-64S,0.37
2004,90S-64S,-0.05
2005,90S-64S,0.65
2006,90S-64S,0.41
2007,90S-64S,1.21
2008,90S-64S,0.58
2009,90S-64S,0.95
2010,90S-64S,0.5
2011,90S-64S,1.09
2012,90S-64S,0.41
2013,90S-64S,0.86
2014,90S-64S,0.56
2015,90S-64S,-0.31
2016,90S-64S,0.4
2017,90S-64S,0.55
2018,90S-64S,0.97
2019,90S-64S,0.86
2020,90S-64S,0.92
2021,90S-64S,0.31
2022,90S-64S,1.12
